,year,title,authors,abstract,journal_title
0,2013,МЕТАТЕЗА И ПЕРЕРАЗЛОЖЕНИЕ В КЕТСКОМ ЯЗЫКЕ,Вайда Эдвард Д.,"Эта статья представляет собой обзор ключевых морфологических черт в кетском и других енисейских языках (коттском и югском). Сначала идентифицируется и описывается несколько главных особенностей, унаследованных из протоенисейского языка (полисинтетическая префигирующая структура глагола, притяжательные приставки, фонематические тоны). Затем обсуждаются другие особенности, которые возникли под влиянием длительных ареальных контактов в окружении суффигирующих агглютинативных языков (система падежных суффиксов, энклитизация притяжательных префиксов, перестановка семантического ядра личного глагола по направлению к крайней левой позиции словоформы). Наконец, рассматриваются пять морфологических особенностей, которые, скорее всего, являются аномальными с типологической точки зрения, поскольку они, как это будет показано в статье, не могли быть унаследованы из протоенисейского языка в их существующих на данный момент функциях, а также не могли возникнуть посредством языковых контактов. Рассматриваемые особенности это – тематические согласные в глагольной словоформе, казалось бы избыточные суффиксы множественного числа у глаголов, маркеры множественного числа у прилагательных, маркеры множественного числа у инфинитивов, образование форм множественного числа существительных с нерегулярным чередованием. В статье показано, что каждая из этих черт возникла из-за метатезы между исходно губными и негубными сегментами. В некоторых случаях метатеза вызвала вторичное морфологическое переразложение, и оригинальные словообразовательные суффиксы прилагательных и инфинитивов были переосмыслены как маркеры множественного числа из-за их омонимии с суффиксами множественного числа существительных, или оригинальные тематические согласные в глаголах были истолкованы как маркеры, омонимичные показателям неодушевленного класса.",Томский журнал лингвистических и антропологических исследований
1,2013,ОБ АРГУМЕНТНОЙ СТРУКТУРЕ ГЛАГОЛОВ 'ДАВАТЬ' В НГАНАСАНСКОМ И СЕЛЬКУПСКОМ ЯЗЫКАХ,"Вагнер-Надь Беата, Северени Шандор","Глагол, ‘давать’ относится к группе так называемых двухобъектных переходных глаголов. Описать характеристики глагола можно, во-первых, базируясь на его аргументной структуре, каким образом адресат и тема, то есть объект, кодируются в языке. Во-вторых, может быть изучена сама форма глагола. Данное исследование сосредоточено прежде всего на аргументной структуре глагола, однако будет затронут и вопрос, касающийся формы аргументов.
В самодийских языках есть два глагола со значением ‘давать’. Несмотря на различие в их значении наблюдается сильная тенденция в дистрибуции этих двух глаголов, обусловленная личностью адресата, что хорошо отражается в реконструкции глаголов. Дистрибуция, подобная той, которая встречается в нганасанском языке, может быть обнаружена в энецком, ненецком и селькупском языках.",Томский журнал лингвистических и антропологических исследований
2,2013,КЕТСКИЙ ЯЗЫК: ОТ ОПИСАТЕЛЬНОЙ ЛИНГВИСТИКИ К МЕЖДИСЦИПЛИНАРНЫМ ИССЛЕДОВАНИЯМ,Крюкова Елена Александровна,"С начала прошлого века умы ученых занимает гипотеза родства языков народов Сибирии языков американских индейцев. В 1968 г. в своем фундаментальном труде «Кетский язык» А. П. Дульзон, основатель кафедры языков народов Сибири Томского государственного педагогического университета, писал: «Кетский язык, наиболее изученный из группы енисейских языков, обладает весьма сложной и своеобразной системой глагольного формообразования. Эта система почти во всех своих главных особенностях типологически совпадает с системой глагольного формообразования баскского языка, вершикского, многих кавказских языков и языков американских индейцев» (Дульзон 1968: 579).
Данная статья носит обзорный характер, в ней излагаются в целом проблемы, связанные с исчезновением кетского языка, освещается сложившаяся социолингвистическая ситуация в местах проживания кетского населения и описывается работа, которая проводится на кафедре языков народов Сибири Томского государственного педагогического университета, по документации языка и оцифровки архивных материалов. В конце статьи представлены рассуждения о гипотезе дене-енисейского родства с позиции лингвиста и дана точка зрения со стороны обывателя.",Томский журнал лингвистических и антропологических исследований
3,2013,ПРОБЛЕМЫ КАТЕГОРИАЛЬНОЙ КОНВЕРГЕНЦИИ В СИНХРОНИИ И ДИАХРОНИИ (НА ПРИМЕРЕ КАТЕГОРИИ МОДАЛЬНОСТИ),Котин Михаил Л.,"Тезис о взаимовлиянии грамматических категорий тривиален, но сущность, конкретные проявления и механизмы категориально-грамматической интеграции, в том числе в типологическом и историческом плане, до сих пор мало изучены. При этом именно феномен категориальной конвергенции в целом ряде случаев, в особенности в контрастивно-типологических и историко-лингвистических исследованиях, позволяет предложить достоверное объяснение определенных эмпирически полученных фактов функционирования и развития языковых систем. В предлагаемой статье обсуждаются некоторые вопросы взаимосвязи категории модальности в глагольной парадигме с категориями временнóй отнесенности, глагольного вида и залога в синхронии, диахронии и с типологической точки зркния.",Томский журнал лингвистических и антропологических исследований
4,2013,КОММУНИКАТИВНО-ПРАГМАТИЧЕСКОЕ ПОЛЕ КАК МЕТОД КОМПЛЕКСНОГО ОПИСАНИЯ СПОСОБОВ РЕАЛИЗАЦИИ РЕЧЕВЫХ АКТОВ,Которова Елизавета Георгиевна,"Предлагается ввести в лингвистический обиход новый тип поля, предназначенный для анализа языковой реализации коммуникативного поведения интерактантов, под названием «коммуникативно-прагматическое поле». В первой части статьи определяется место данного поля среди других типов полевых структур, а также описываются принципы его организации, структура и состав. Во второй части обсуждаются основы и особенности лингвистического анализа на базе коммуникативно-прагматического поля на примере некоторых речевых актов.",Томский журнал лингвистических и антропологических исследований
5,2013,ВИЗУАЛЬНАЯ АНТРОПОЛОГИЯ КАК ИССЛЕДОВАТЕЛЬСКАЯ ДИСЦИПЛИНА,Аванесов Сергей Сергеевич,"В статье исследованы культурные и концептуальные основания формирования визуальной антропологии как современной междисциплинарной отрасли гуманитарного знания. Предмет визуальной антропологии составляют все доступные визуальной фиксации и трансляции формы выражения социокультурных смыслов. Визуальные образы занимают значительный сегмент культуры как социокоммуникативной системы. В настоящее время изображение превратилось в ведущее средство выражения и передачи значимой информации; зафиксирован и описан «визуальный поворот» в культуре, связанный с переносом акцента с семантического аспекта образа на его синтаксис. В связи с этим поворотом принципиально трансформируется онтология человека и культуры.",Томский журнал лингвистических и антропологических исследований
6,2013,ПЕРСПЕКТИВЫ ИССЛЕДОВАНИЯ МИНОРИТАРНЫХ ДИСКУРСИВНЫХ ПРАКТИК В РЕГИОНАЛЬНОЙ ЛИНГВИСТИКЕ И ЛИНГВОКУЛЬТУРОЛОГИИ,"Бабенко Иннеса Игоревна, Орлова Ольга Вячеславовна",В статье дается определение понятия «миноритарная дискурсивная практика» и описываются перспективы изучения таких практик с целью определения лингвокультурного своеобразия региональной инфосферы.,Томский журнал лингвистических и антропологических исследований
7,2013,ДРЕВНИЕ МИГРАЦИИ САМОДИЙЦЕВ И ЕНИСЕЙЦЕВ В СВЕТЕ ГЕНЕТИЧЕСКИХ ДАННЫХ,Волков Владимир Геннадьевич,"Статья посвящена выявлению направления миграций древнего населения Западной и Центральной Сибири на основе анализа маркёров Y-хромосомы. В связи с отсутствием прямых палеогенетических данных используются выводы о направлении миграций, полученные на основе анализа распределения мужских генетических линий современного населения. В результате исследования выявлены корреляции между выводами генетики, археологии и лингвистики о направлении основных миграций самодийцев и енисейцев.",Томский журнал лингвистических и антропологических исследований
8,2013,ТОПОНИМИЧЕСКИЕ МОДЕЛИ В НАЗВАНИЯХ СЕЛЬКУПСКИХ ПОСЕЛЕНИЙ,Тучкова Наталья Анатольевна,"Статья посвящена выявлению типов топонимического словообразования в названиях селькупских поселений южных и центральных диалектно-локальных групп селькупов. Для анализа было привлечено более 200 наименований стационарных селькупских поселений (юрт), находившихся в ареале Среднего Приобья в период второй половины XIX – начала ХХ в. В результате исследования выявлено наличие четырех основных типов топонимических моделей в номинации поселений и очерчены ареалы их распространения.",Томский журнал лингвистических и антропологических исследований
9,2013,СВАДЕБНАЯ ОБРЯДНОСТЬ ТОМСКИХ ТАТАР В КОНТЕКСТЕ ОБЩЕТАТАРСКОГО ЭТНОКУЛЬТУРНОГО КОМПЛЕКСА,Чигрина Елена Владимировна,"В статье рассмотрены разные варианты описания свадьбы казанских и сибирских татар. Татарская культура состоит из целого ряда локальных вариантов и субвариантов – сибирского (тюменские, тобольские татары) и казанского (собственно казанские, а также чепецкие, пермские). Материалы, собранные как учеными прошлых лет, так и в ходе современных полевых исследований, свидетельствуют о существовании и «томского» варианта локальной культуры в составе культуры сибирских татар, что проявляется и в свадебной обрядности. Изучение этнокультурных особенностей томских татар дает возможность рассмотреть их локальную специфику, а также выявить специфические черты свадебного обряда татарских микрогрупп, вошедших в состав томских татар.",Томский журнал лингвистических и антропологических исследований
